Section,Insight,Evidence from cleaned data,Interpretation / reporting note
Linear regression,Age is an independent predictor of Burnout_Total.,"B=-0.035; HC3 robust p=0.0001; 95% CI [-0.052, -0.018].","After adjustment for other model predictors, higher Age is linked with lower Burnout_Total."
Linear regression,SV_Emotional_Total is an independent predictor of Burnout_Total.,"B=0.253; HC3 robust p=0.0005; 95% CI [0.113, 0.393].","After adjustment for other model predictors, higher SV_Emotional_Total is linked with higher Burnout_Total."
Linear regression,SV_Emotional_Total is an independent predictor of GAD7_Total.,"B=2.700; HC3 robust p=0.0002; 95% CI [1.310, 4.089].","After adjustment for other model predictors, higher SV_Emotional_Total is linked with higher GAD7_Total."
Linear regression,Burnout_Total is an independent predictor of GAD7_Total.,"B=1.757; HC3 robust p=0.0358; 95% CI [0.119, 3.394].","After adjustment for other model predictors, higher Burnout_Total is linked with higher GAD7_Total."
Linear regression,Performance_Impact_Total is an independent predictor of Intent_Leave_Total.,"B=0.502; HC3 robust p=0.0008; 95% CI [0.214, 0.790].","After adjustment for other model predictors, higher Performance_Impact_Total is linked with higher Intent_Leave_Total."
Linear regression,Org_Support_Total is an independent predictor of Intent_Leave_Total.,"B=-0.208; HC3 robust p=0.0214; 95% CI [-0.385, -0.032].","After adjustment for other model predictors, higher Org_Support_Total is linked with lower Intent_Leave_Total."
Linear regression,Burnout_Total is an independent predictor of Intent_Leave_Total.,"B=0.264; HC3 robust p=0.0439; 95% CI [0.007, 0.521].","After adjustment for other model predictors, higher Burnout_Total is linked with higher Intent_Leave_Total."
Linear regression,SV_Emotional_Total is an independent predictor of PHQ9_Total.,"B=2.286; HC3 robust p=0.0143; 95% CI [0.468, 4.105].","After adjustment for other model predictors, higher SV_Emotional_Total is linked with higher PHQ9_Total."
Linear regression,SV_Emotional_Total is an independent predictor of Performance_Impact_Total.,"B=0.500; HC3 robust p=0.0000; 95% CI [0.298, 0.701].","After adjustment for other model predictors, higher SV_Emotional_Total is linked with higher Performance_Impact_Total."
Linear regression,Org_Support_Total is an independent predictor of Performance_Impact_Total.,"B=0.200; HC3 robust p=0.0025; 95% CI [0.072, 0.329].","After adjustment for other model predictors, higher Org_Support_Total is linked with higher Performance_Impact_Total."
Linear regression,Burnout_Total is an independent predictor of Performance_Impact_Total.,"B=0.317; HC3 robust p=0.0356; 95% CI [0.022, 0.612].","After adjustment for other model predictors, higher Burnout_Total is linked with higher Performance_Impact_Total."
Linear regression,Supervisor_Support_Total is an independent predictor of Performance_Impact_Total.,"B=-0.211; HC3 robust p=0.0463; 95% CI [-0.419, -0.004].","After adjustment for other model predictors, higher Supervisor_Support_Total is linked with lower Performance_Impact_Total."
Linear regression,The model for Performance_Impact_Total explains a meaningful share of variance.,Adjusted R-squared=0.609; N=99; predictors=8; model p=0.0000.,Use Regression_Coefficients for predictor-level interpretation and HC3 robust p-values.
Linear regression,The model for Intent_Leave_Total explains a meaningful share of variance.,Adjusted R-squared=0.501; N=99; predictors=8; model p=0.0000.,Use Regression_Coefficients for predictor-level interpretation and HC3 robust p-values.
Linear regression,The model for GAD7_Total explains a meaningful share of variance.,Adjusted R-squared=0.395; N=99; predictors=7; model p=0.0000.,Use Regression_Coefficients for predictor-level interpretation and HC3 robust p-values.
Association test,Specialization differs by or is associated with GAD7_Category.,Chi-square; statistic=82.353; p=0.0035; effect size=0.527; FDR significant=No.,Use group summaries to describe which subgroup has higher or lower scores.
Association test,Designation differs by or is associated with Intent_Leave_Total.,Kruskal-Wallis; statistic=20.838; p=0.0040; effect size=0.159; FDR significant=No.,Use group summaries to describe which subgroup has higher or lower scores.
Association test,Designation differs by or is associated with Peer_Support_Total.,Kruskal-Wallis; statistic=19.603; p=0.0065; effect size=0.145; FDR significant=No.,Use group summaries to describe which subgroup has higher or lower scores.
Association test,Designation differs by or is associated with Org_Support_Total.,Kruskal-Wallis; statistic=18.697; p=0.0092; effect size=0.134; FDR significant=No.,Use group summaries to describe which subgroup has higher or lower scores.
Association test,Specialization differs by or is associated with Org_Support_Total.,Kruskal-Wallis; statistic=24.172; p=0.0120; effect size=0.163; FDR significant=No.,Use group summaries to describe which subgroup has higher or lower scores.
Association test,Designation differs by or is associated with Performance_Impact_Total.,Kruskal-Wallis; statistic=17.865; p=0.0126; effect size=0.125; FDR significant=No.,Use group summaries to describe which subgroup has higher or lower scores.
Association test,Specialization differs by or is associated with Resource_Need_Total.,Kruskal-Wallis; statistic=20.437; p=0.0397; effect size=0.117; FDR significant=No.,Use group summaries to describe which subgroup has higher or lower scores.
Association test,Designation differs by or is associated with GAD7_Total.,Kruskal-Wallis; statistic=14.210; p=0.0476; effect size=0.083; FDR significant=No.,Use group summaries to describe which subgroup has higher or lower scores.
Association test,Gender differs by or is associated with Org_Support_Total.,Mann-Whitney U; statistic=1496.000; p=0.0554; effect size=0.191; FDR significant=No.,Use group summaries to describe which subgroup has higher or lower scores.
Association test,Designation differs by or is associated with Professional_Growth_Total.,Kruskal-Wallis; statistic=13.759; p=0.0556; effect size=0.078; FDR significant=No.,Use group summaries to describe which subgroup has higher or lower scores.
Subgroup pattern,Specialization=Ophthalmology has the highest observed mean for PHQ9_Total.,N=5; mean=7.40; overall mean=4.39; difference=3.01.,Treat subgroup findings as descriptive when group sizes are small.
Subgroup pattern,Designation=Post Graduate has the highest observed mean for GAD7_Total.,N=22; mean=6.45; overall mean=4.21; difference=2.24.,Treat subgroup findings as descriptive when group sizes are small.
Subgroup pattern,Specialization=General Surgery has the highest observed mean for Burnout_Total.,N=12; mean=3.11; overall mean=2.85; difference=0.26.,Treat subgroup findings as descriptive when group sizes are small.
Subgroup pattern,Designation=Assistant professor has the highest observed mean for Intent_Leave_Total.,N=4; mean=2.38; overall mean=1.82; difference=0.55.,Treat subgroup findings as descriptive when group sizes are small.
Subgroup pattern,Designation=Nurse has the highest observed mean for Performance_Impact_Total.,N=11; mean=3.05; overall mean=2.36; difference=0.68.,Treat subgroup findings as descriptive when group sizes are small.
